MODZCTA,Positive,Total,zcta_cum.perc_pos,ZIP,LAT,LNG,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Positive_Percentage_of_Population
11232,365,587,62.18,11232,40.656546,-74.007355,11232,40.6563,-74.00564,Brooklyn,NY,New York,True,,27602,9162.6,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.3223679443518586
11233,884,1600,55.25,11233,40.678308,-73.91993599999999,11233,40.6783,-73.91995,Brooklyn,NY,New York,True,,76819,19194.0,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.150756974186074
11234,1756,3205,54.79,11234,40.60508,-73.911721,11234,40.60602,-73.91071,Brooklyn,NY,New York,True,,95666,4572.6,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.8355528609955472
11235,1413,2622,53.89,11235,40.583949,-73.949096,11235,40.58402,-73.9488,Brooklyn,NY,New York,True,,78128,13613.7,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.8085705508908458
11236,1990,3376,58.95,11236,40.639413,-73.900664,11236,40.63958,-73.90106999999999,Brooklyn,NY,New York,True,,100331,10071.1,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.9834348307103487
11237,618,1024,60.35,11237,40.704159999999995,-73.921139,11237,40.70429,-73.92107,Brooklyn,NY,New York,True,,49310,19583.0,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.2532954775907525
11238,571,1094,52.19,11238,40.679171000000004,-73.96380400000001,11238,40.67913,-73.96384,Brooklyn,NY,New York,True,,54540,17188.6,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.046938027136047
11239,367,670,54.78,11239,40.647735,-73.87947700000001,11239,40.64839,-73.87973000000001,Brooklyn,NY,New York,True,,13244,8377.3,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,2.771066143159166
11354,766,1351,56.7,11354,40.768208,-73.827403,11354,40.76863,-73.82739000000001,Flushing,NY,New York,True,,55200,9727.7,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.3876811594202898
11355,866,1516,57.12,11355,40.751452,-73.821031,11355,40.75148,-73.82092,Flushing,NY,New York,True,,80853,19106.8,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.071079613619779
11356,398,745,53.42,11356,40.78485,-73.841279,11356,40.78498,-73.84161,College Point,NY,New York,True,,23362,5738.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.7036212653026281
11357,603,1198,50.33,11357,40.786393,-73.810864,11357,40.786359999999995,-73.81097,Whitestone,NY,New York,True,,39902,5377.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.511202445992682
11358,414,873,47.42,11358,40.760471,-73.796371,11358,40.76044,-73.79632,Flushing,NY,New York,True,,37190,7439.1,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.113202473783275
11360,234,552,42.39,11360,40.780378999999996,-73.78123000000001,11360,40.780390000000004,-73.78148,Bayside,NY,New York,True,,19621,5232.4,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.192599765557311
11361,340,703,48.36,11361,40.764191,-73.772775,11361,40.76383,-73.77237,Bayside,NY,New York,True,,27246,6255.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.2478895984731704
11362,231,526,43.92,11362,40.756574,-73.737845,11362,40.7565,-73.73686,Little Neck,NY,New York,True,,18721,2719.3,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.2339084450616953
11363,78,192,40.62,11363,40.772616,-73.746526,11363,40.77268,-73.74671,Little Neck,NY,New York,True,,6952,3136.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.1219792865362486
11364,367,795,46.16,11364,40.745289,-73.760586,11364,40.74532,-73.76059000000001,Oakland Gardens,NY,New York,True,,36806,5406.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,0.9971200347769386
11365,610,1210,50.41,11365,40.739634,-73.79449,11365,40.7398,-73.79477,Fresh Meadows,NY,New York,True,,44983,6528.7,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.3560678478536334
11366,318,601,52.91,11366,40.728152,-73.78501899999999,11366,40.72817,-73.78491,Fresh Meadows,NY,New York,True,,14650,4780.1,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.170648464163823
11367,763,1509,50.56,11367,40.730145,-73.82703000000001,11367,40.73041,-73.82623000000001,Flushing,NY,New York,True,,41824,6728.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.824311400153022
11368,3045,4290,70.98,11368,40.751718,-73.851822,11368,40.749590000000005,-73.8526,Corona,NY,New York,True,,112425,16141.4,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.7084723148765844
11369,1123,1667,67.37,11369,40.763365,-73.872374,11369,40.76339,-73.87238,East Elmhurst,NY,New York,True,,34118,13674.1,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,3.2915176739550973
11370,1080,1857,58.16,11370,40.765392999999996,-73.893243,11370,40.77564,-73.88745,East Elmhurst,NY,New York,True,,32514,10282.2,36081,Queens,"{'36005':27.95,'36081':72.05}",Queens|Bronx,36081|36005,False,False,America/New_York,3.3216460601587006
11372,1834,2769,66.23,11372,40.75169,-73.883638,11372,40.75166,-73.88361,Jackson Heights,NY,New York,True,,61844,34729.8,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.9655261626026777
11373,2358,3654,64.53,11373,40.738837,-73.878535,11373,40.738859999999995,-73.87858,Elmhurst,NY,New York,True,,93967,25573.8,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.5093915949216212
11374,842,1634,51.53,11374,40.726418,-73.861526,11374,40.72651,-73.86149,Rego Park,NY,New York,True,,42653,17850.4,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.9740698192389752
11375,1214,2452,49.51,11375,40.720934,-73.846151,11375,40.72092,-73.84611,Forest Hills,NY,New York,True,,73488,13340.8,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.651970389723492
11377,1522,2593,58.7,11377,40.744819,-73.905156,11377,40.74485,-73.90517,Woodside,NY,New York,True,,86421,13672.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.7611460177503153
11378,544,1056,51.52,11378,40.724744,-73.909639,11378,40.7247,-73.90958,Maspeth,NY,New York,True,,37279,5241.3,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.4592666112288422
11379,581,1207,48.14,11379,40.716747999999995,-73.879601,11379,40.71676,-73.87953,Middle Village,NY,New York,True,,37851,6479.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.5349660510950833
11385,1495,2807,53.26,11385,40.700671,-73.889433,11385,40.70102,-73.89013,Ridgewood,NY,New York,True,,106717,10527.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.4009014496284566
11411,530,900,58.89,11411,40.694021,-73.736216,11411,40.694,-73.73619000000001,Cambria Heights,NY,New York,True,,20759,6133.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.5531094946770074
11412,966,1674,57.71,11412,40.698095,-73.758986,11412,40.69811,-73.75896,Saint Albans,NY,New York,True,,37458,8176.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.5788883549575528
11413,1005,1767,56.88,11413,40.671659000000005,-73.75256800000001,11413,40.66992,-73.75091,Springfield Gardens,NY,New York,True,,42443,4839.9,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.3678816294795375
11414,649,1150,56.43,11414,40.657604,-73.84480400000001,11414,40.65811,-73.84499,Howard Beach,NY,New York,True,,29219,4366.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.221157466032376
11415,394,755,52.19,11415,40.707917,-73.828212,11415,40.70792,-73.82821,Kew Gardens,NY,New York,True,,19372,13194.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.0338633078670245
11416,461,788,58.5,11416,40.684653999999995,-73.849548,11416,40.68458,-73.8496,Ozone Park,NY,New York,True,,27125,14506.1,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.6995391705069123
11417,611,1081,56.52,11417,40.676446,-73.844443,11417,40.67637,-73.84441,Ozone Park,NY,New York,True,,31927,9994.1,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.9137407210198263
